 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
126.00    127.00    127.00     5.000E+00     1.427E-06     1.368E-05     5.034E-23      0.000E+00      0.000E+00        0.000E+00       1.615E-01      5.078E-03
127.00    128.00    128.00     5.000E+00     1.261E-06     1.346E-05     5.454E-23      0.000E+00      0.000E+00        0.000E+00       1.566E-01      5.048E-03
128.00    129.00    129.00     5.000E+00     1.181E-06     1.326E-05     5.573E-23      0.000E+00      0.000E+00        0.000E+00       1.518E-01      5.020E-03
129.00    130.00    130.00     5.000E+00     1.138E-06     1.305E-05     5.594E-23      0.000E+00      0.000E+00        0.000E+00       1.472E-01      4.992E-03
130.00    131.00    131.00     5.000E+00     1.117E-06     1.285E-05     5.573E-23      0.000E+00      0.000E+00        0.000E+00       1.427E-01      4.966E-03
131.00    132.00    132.00     5.000E+00     1.109E-06     1.266E-05     5.529E-23      0.000E+00      0.000E+00        0.000E+00       1.383E-01      4.941E-03
132.00    133.00    133.00     5.000E+00     1.111E-06     1.247E-05     5.473E-23      0.000E+00      0.000E+00        0.000E+00       1.341E-01      4.917E-03
133.00    134.00    134.00     5.000E+00     1.119E-06     1.228E-05     5.410E-23      0.000E+00      0.000E+00        0.000E+00       1.300E-01      4.894E-03
134.00    135.00    135.00     5.000E+00     1.134E-06     1.210E-05     5.343E-23      0.000E+00      0.000E+00        0.000E+00       1.261E-01      4.872E-03
135.00    136.00    136.00     5.000E+00     1.153E-06     1.193E-05     5.273E-23      0.000E+00      0.000E+00        0.000E+00       1.223E-01      4.851E-03
136.00    137.00    137.00     5.000E+00     1.175E-06     1.175E-05     5.203E-23      0.000E+00      0.000E+00        0.000E+00       1.186E-01      4.831E-03
137.00    138.00    138.00     5.000E+00     1.201E-06     1.158E-05     5.132E-23      0.000E+00      0.000E+00        0.000E+00       1.150E-01      4.811E-03
138.00    139.00    139.00     5.000E+00     1.231E-06     1.142E-05     5.061E-23      0.000E+00      0.000E+00        0.000E+00       1.116E-01      4.792E-03
139.00    140.00    140.00     5.000E+00     1.262E-06     1.125E-05     4.991E-23      0.000E+00      0.000E+00        0.000E+00       1.082E-01      4.774E-03
140.00    141.00    141.00     5.000E+00     1.297E-06     1.109E-05     4.921E-23      0.000E+00      0.000E+00        0.000E+00       1.050E-01      4.757E-03
141.00    142.00    142.00     5.000E+00     1.333E-06     1.094E-05     4.852E-23      0.000E+00      0.000E+00        0.000E+00       1.018E-01      4.740E-03
142.00    143.00    143.00     5.000E+00     1.372E-06     1.079E-05     4.785E-23      0.000E+00      0.000E+00        0.000E+00       9.879E-02      4.724E-03
143.00    144.00    144.00     5.000E+00     1.414E-06     1.064E-05     4.718E-23      0.000E+00      0.000E+00        0.000E+00       9.585E-02      4.709E-03
144.00    145.00    145.00     5.000E+00     1.457E-06     1.049E-05     4.653E-23      0.000E+00      0.000E+00        0.000E+00       9.301E-02      4.694E-03
