 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
149.00    150.00    150.00     -1.000E-03     4.072E-03     3.921E-13     9.854E-25      0.000E+00      0.000E+00        0.000E+00       2.357E-03      4.268E-03
150.00    151.00    151.00     -1.000E-03     4.128E-03     3.869E-13     9.726E-25      0.000E+00      0.000E+00        0.000E+00       2.357E-03      4.268E-03
151.00    152.00    152.00     -1.000E-03     4.184E-03     3.819E-13     9.601E-25      0.000E+00      0.000E+00        0.000E+00       2.356E-03      4.268E-03
152.00    153.00    153.00     -1.000E-03     4.241E-03     3.769E-13     9.479E-25      0.000E+00      0.000E+00        0.000E+00       2.355E-03      4.268E-03
153.00    154.00    154.00     -1.000E-03     4.297E-03     3.720E-13     9.359E-25      0.000E+00      0.000E+00        0.000E+00       2.355E-03      4.268E-03
154.00    155.00    155.00     -1.000E-03     4.355E-03     3.672E-13     9.242E-25      0.000E+00      0.000E+00        0.000E+00       2.354E-03      4.268E-03
155.00    156.00    156.00     -1.000E-03     4.413E-03     3.625E-13     9.127E-25      0.000E+00      0.000E+00        0.000E+00       2.354E-03      4.268E-03
156.00    157.00    157.00     -1.000E-03     4.471E-03     3.579E-13     9.014E-25      0.000E+00      0.000E+00        0.000E+00       2.353E-03      4.268E-03
157.00    158.00    158.00     -1.000E-03     4.529E-03     3.534E-13     8.903E-25      0.000E+00      0.000E+00        0.000E+00       2.353E-03      4.268E-03
158.00    159.00    159.00     -1.000E-03     4.588E-03     3.490E-13     8.795E-25      0.000E+00      0.000E+00        0.000E+00       2.352E-03      4.268E-03
159.00    160.00    160.00     -1.000E-03     4.647E-03     3.446E-13     8.688E-25      0.000E+00      0.000E+00        0.000E+00       2.352E-03      4.268E-03
160.00    161.00    161.00     -1.000E-03     4.706E-03     3.403E-13     8.584E-25      0.000E+00      0.000E+00        0.000E+00       2.351E-03      4.268E-03
161.00    162.00    162.00     -1.000E-03     4.765E-03     3.362E-13     8.481E-25      0.000E+00      0.000E+00        0.000E+00       2.351E-03      4.268E-03
