Mv1      lamL      xs(fb)          r          Acc     SR         ds       Sobs      xs_lim(fb)
230.0    3.00    1.1252e+01    1.556e-01     0.02    EM10      0.640      58.00      65.96
230.0    4.00    2.0024e+01    2.521e-01     0.02    EM10      1.089      58.00      72.96
230.0    5.00    3.1241e+01    3.897e-01     0.02    EM10      1.692      58.00      74.82
230.0    6.00    4.5048e+01    5.619e-01     0.02    EM10      2.439      58.00      76.33
230.0    7.00    6.1235e+01    8.251e-01     0.02    EM10      3.439      58.00      72.85
230.0    8.00    8.0059e+01    1.112e+00     0.02    EM10      4.561      58.00      72.84
230.0    9.00    1.0145e+02    1.433e+00     0.03    EM10      5.825      58.00      73.96
230.0    10.00    1.2517e+02    1.613e+00     0.02    EM10      6.883      58.00      82.73
230.0    11.00    1.5146e+02    2.273e+00     0.03    EM10      8.951      58.00      75.12
230.0    12.00    1.8015e+02    2.215e+00     0.02    EM10      9.690      58.00      92.20
240.0    1.00    1.0072e+00    1.375e-02     0.02    EM10      0.057      58.00      65.68
240.0    2.00    4.0291e+00    5.905e-02     0.03    EM10      0.235      58.00      61.73
240.0    3.00    9.0734e+00    1.212e-01     0.02    EM10      0.507      58.00      67.90
240.0    4.00    1.6114e+01    2.019e-01     0.02    EM10      0.875      58.00      72.85
240.0    5.00    2.5193e+01    3.320e-01     0.02    EM10      1.400      58.00      70.47
240.0    6.00    3.6220e+01    4.774e-01     0.02    EM10      2.013      58.00      71.65
240.0    7.00    4.9328e+01    6.037e-01     0.02    EM10      2.647      58.00      78.14
240.0    8.00    6.4451e+01    8.608e-01     0.02    EM10      3.604      58.00      73.77
240.0    9.00    8.1543e+01    9.500e-01     0.02    EM10      4.276      58.00      85.35
240.0    10.00    1.0077e+02    1.186e+00     0.02    EM10      5.309      58.00      86.75
240.0    11.00    1.2184e+02    1.484e+00     0.02    EM10      6.524      58.00      86.50
240.0    12.00    1.4505e+02    1.920e+00     0.02    EM10      8.078      58.00      82.93
250.0    1.00    8.1648e-01    1.177e-02     0.03    EM10      0.047      58.00      62.36
250.0    2.00    3.2651e+00    4.727e-02     0.03    EM10      0.190      58.00      62.37
250.0    3.00    7.3478e+00    9.987e-02     0.02    EM10      0.414      58.00      66.62
250.0    4.00    1.3081e+01    1.578e-01     0.02    EM10      0.697      58.00      75.15
250.0    5.00    2.0451e+01    2.816e-01     0.02    EM10      1.160      58.00      67.18
250.0    6.00    2.9389e+01    4.029e-01     0.02    EM10      1.664      58.00      68.38
250.0    7.00    4.0059e+01    5.563e-01     0.02    EM10      2.282      58.00      68.69
250.0    8.00    5.2249e+01    7.071e-01     0.02    EM10      2.940      58.00      71.61
250.0    9.00    6.6212e+01    1.056e+00     0.03    EM10      4.028      58.00      63.02
250.0    10.00    8.1703e+01    1.173e+00     0.03    EM10      4.728      58.00      70.87
250.0    11.00    9.9032e+01    1.352e+00     0.02    EM10      5.596      58.00      75.95
250.0    12.00    1.1772e+02    1.760e+00     0.03    EM10      6.944      58.00      71.99
260.0    1.00    6.6593e-01    9.641e-03     0.03    EM10      0.039      58.00      62.10
260.0    2.00    2.6662e+00    3.750e-02     0.03    EM10      0.153      58.00      64.03
260.0    3.00    5.9991e+00    9.075e-02     0.03    EM10      0.356      58.00      60.10
260.0    4.00    1.0672e+01    1.570e-01     0.03    EM10      0.625      58.00      62.17
260.0    5.00    1.6691e+01    2.663e-01     0.03    EM10      1.015      58.00      58.20
260.0    6.00    2.4011e+01    3.689e-01     0.03    EM10      1.435      58.00      61.02
260.0    7.00    3.2737e+01    4.257e-01     0.02    EM10      1.808      58.00      72.17
260.0    8.00    4.2640e+01    6.375e-01     0.03    EM10      2.515      58.00      64.45
260.0    9.00    5.4045e+01    8.432e-01     0.03    EM10      3.253      58.00      63.11
260.0    10.00    6.6642e+01    1.020e+00     0.03    EM10      3.975      58.00      65.47
260.0    11.00    8.0729e+01    1.178e+00     0.03    EM10      4.708      58.00      69.75
260.0    12.00    9.6101e+01    1.295e+00     0.02    EM10      5.397      58.00      76.52
270.0    1.00    5.4828e-01    7.614e-03     0.02    EM10      0.031      58.00      64.58
270.0    2.00    2.1947e+00    3.203e-02     0.03    EM10      0.128      58.00      61.78
270.0    3.00    4.9363e+00    7.205e-02     0.03    EM10      0.288      58.00      62.06
270.0    4.00    8.7714e+00    1.182e-01     0.02    EM10      0.493      58.00      67.32
270.0    5.00    1.3692e+01    2.071e-01     0.03    EM10      0.812      58.00      60.87
270.0    6.00    1.9752e+01    2.871e-01     0.03    EM10      1.150      58.00      63.80
270.0    7.00    2.6881e+01    3.701e-01     0.02    EM10      1.525      58.00      67.85
270.0    8.00    3.5107e+01    4.338e-01     0.02    EM10      1.893      58.00      75.90
270.0    9.00    4.4403e+01    6.796e-01     0.03    EM10      2.649      58.00      63.26
270.0    10.00    5.4789e+01    8.126e-01     0.03    EM10      3.220      58.00      66.15
270.0    11.00    6.6349e+01    9.528e-01     0.03    EM10      3.840      58.00      69.30
270.0    12.00    7.9042e+01    1.130e+00     0.03    EM10      4.565      58.00      70.86
280.0    1.00    4.5289e-01    5.889e-03     0.02    EM10      0.025      58.00      68.71
280.0    2.00    1.8111e+00    2.601e-02     0.03    EM10      0.105      58.00      62.70
280.0    3.00    4.0799e+00    6.317e-02     0.03    EM10      0.245      58.00      58.61
280.0    4.00    7.2467e+00    1.101e-01     0.03    EM10      0.431      58.00      60.01
280.0    5.00    1.1312e+01    1.531e-01     0.02    EM10      0.637      58.00      67.31
280.0    6.00    1.6289e+01    2.377e-01     0.03    EM10      0.950      58.00      63.21
280.0    7.00    2.2170e+01    3.184e-01     0.03    EM10      1.283      58.00      64.78
280.0    8.00    2.9041e+01    3.691e-01     0.02    EM10      1.586      58.00      73.31
280.0    9.00    3.6733e+01    5.231e-01     0.03    EM10      2.118      58.00      66.78
280.0    10.00    4.5349e+01    7.021e-01     0.03    EM10      2.720      58.00      62.69
280.0    11.00    5.4803e+01    8.031e-01     0.03    EM10      3.202      58.00      66.88
280.0    12.00    6.5255e+01    9.293e-01     0.03    EM10      3.762      58.00      69.71
290.0    1.00    3.7614e-01    5.401e-03     0.03    EM10      0.022      58.00      62.55
290.0    2.00    1.5048e+00    2.232e-02     0.03    EM10      0.088      58.00      60.78
290.0    3.00    3.3889e+00    4.926e-02     0.03    EM10      0.197      58.00      62.14
290.0    4.00    6.0196e+00    8.537e-02     0.03    EM10      0.346      58.00      63.87
290.0    5.00    9.4031e+00    1.317e-01     0.03    EM10      0.538      58.00      64.98
290.0    6.00    1.3557e+01    2.123e-01     0.03    EM10      0.817      58.00      58.92
290.0    7.00    1.8423e+01    2.798e-01     0.03    EM10      1.095      58.00      61.12
290.0    8.00    2.4124e+01    3.137e-01     0.02    EM10      1.332      58.00      71.25
290.0    9.00    3.0488e+01    4.630e-01     0.03    EM10      1.812      58.00      62.32
290.0    10.00    3.7620e+01    5.003e-01     0.02    EM10      2.100      58.00      71.21
290.0    11.00    4.5572e+01    7.191e-01     0.03    EM10      2.758      58.00      61.63
290.0    12.00    5.4200e+01    8.296e-01     0.03    EM10      3.233      58.00      64.23
300.0    1.00    3.1441e-01    4.645e-03     0.03    EM10      0.018      58.00      60.89
300.0    2.00    1.2569e+00    1.939e-02     0.03    EM10      0.075      58.00      58.55
300.0    3.00    2.8320e+00    3.900e-02     0.02    EM10      0.161      58.00      65.34
300.0    4.00    5.0308e+00    7.284e-02     0.03    EM10      0.292      58.00      62.55
300.0    5.00    7.8558e+00    1.198e-01     0.03    EM10      0.468      58.00      59.85
300.0    6.00    1.1326e+01    1.821e-01     0.03    EM10      0.691      58.00      57.27
300.0    7.00    1.5399e+01    2.375e-01     0.03    EM10      0.922      58.00      59.95
300.0    8.00    2.0120e+01    3.127e-01     0.03    EM10      1.209      58.00      59.98
300.0    9.00    2.5457e+01    3.686e-01     0.03    EM10      1.479      58.00      64.63
300.0    10.00    3.1450e+01    4.758e-01     0.03    EM10      1.866      58.00      62.64
300.0    11.00    3.8018e+01    5.706e-01     0.03    EM10      2.247      58.00      63.76
300.0    12.00    4.5316e+01    7.123e-01     0.03    EM10      2.737      58.00      61.82
