Mv1      Mv2      xs(fb)            r          Acc     SR         ds         Sobs      xs_lim(fb)
190.0    196.0    1.8104e+02    8.693e-01     0.04    IM7      8.108      274.00      206.82
190.0    197.0    1.7928e+02    8.618e-01     0.04    IM7      8.034      274.00      206.52
190.0    198.0    1.7740e+02    8.591e-01     0.04    IM7      7.978      274.00      204.96
190.0    199.0    1.7561e+02    8.459e-01     0.04    IM7      7.877      274.00      205.90
190.0    200.0    1.7375e+02    7.835e-01     0.04    IM7      7.548      274.00      219.14
190.0    201.0    1.7184e+02    7.740e-01     0.04    IM7      7.461      274.00      219.27
190.0    211.0    1.5565e+02    6.860e-01     0.04    IM7      6.687      274.00      222.99
190.0    221.0    1.4157e+02    5.927e-01     0.03    IM7      5.932      274.00      233.36
190.0    231.0    1.2915e+02    5.519e-01     0.03    IM7      5.466      274.00      228.12
190.0    241.0    1.1833e+02    5.045e-01     0.03    IM7      5.002      274.00      228.04
190.0    251.0    1.0853e+02    5.134e-01     0.04    IM7      4.825      274.00      205.94
190.0    261.0    1.0004e+02    4.676e-01     0.04    IM7      4.422      274.00      207.87
190.0    271.0    9.2547e+01    4.563e-01     0.04    IM7      4.198      274.00      197.08
190.0    281.0    8.5677e+01    4.558e-01     0.04    IM7      4.034      274.00      182.81
190.0    291.0    7.9573e+01    3.890e-01     0.04    IM7      3.595      274.00      197.99
190.0    301.0    7.4078e+01    3.960e-01     0.04    IM7      3.496      274.00      181.39
190.0    311.0    6.8998e+01    3.742e-01     0.04    IM7      3.279      274.00      178.65
190.0    321.0    6.4520e+01    3.728e-01     0.05    IM7      3.162      274.00      167.83
190.0    331.0    6.0304e+01    3.832e-01     0.05    IM7      3.096      274.00      152.90
190.0    341.0    5.6576e+01    3.735e-01     0.05    IM7      2.959      274.00      147.19
190.0    351.0    5.3040e+01    3.613e-01     0.05    IM7      2.817      274.00      142.61
190.0    361.0    4.9911e+01    3.885e-01     0.01    EM10      1.335      58.00      121.52
190.0    371.0    4.6981e+01    3.813e-01     0.01    EM10      1.282      58.00      116.59
190.0    381.0    4.4324e+01    3.915e-01     0.02    EM10      1.259      58.00      107.48
190.0    391.0    4.1800e+01    3.492e-01     0.01    EM10      1.156      58.00      113.02
191.0    191.0    1.8911e+02    1.297e+00     0.01    EM10      4.761      58.00      149.91
191.0    192.0    1.8707e+02    1.137e+00     0.05    IM7      9.397      274.00      165.64
191.0    193.0    1.8511e+02    1.085e+00     0.05    IM7      9.135      274.00      171.34
191.0    194.0    1.8298e+02    1.049e+00     0.05    IM7      8.933      274.00      174.89
191.0    195.0    1.8131e+02    9.767e-01     0.04    IM7      8.588      274.00      185.41
193.0    193.0    1.8110e+02    1.164e+00     0.05    IM7      9.349      274.00      156.78
193.0    194.0    1.7920e+02    1.092e+00     0.05    IM7      9.012      274.00      164.87
193.0    195.0    1.7733e+02    7.035e-01     0.08    IM6      11.377      692.00      249.31
194.0    194.0    1.7722e+02    1.093e+00     0.05    IM7      8.968      274.00      162.81
194.0    195.0    1.7546e+02    1.224e+00     0.01    EM10      4.454      58.00      146.36
194.0    196.0    1.7360e+02    1.083e+00     0.05    IM7      8.831      274.00      160.98
194.0    197.0    1.7172e+02    9.101e-01     0.04    IM7      8.069      274.00      187.83
194.0    198.0    1.7004e+02    9.641e-01     0.05    IM7      8.257      274.00      176.06
194.0    199.0    1.6831e+02    8.885e-01     0.04    IM7      7.894      274.00      188.36
194.0    200.0    1.6648e+02    8.148e-01     0.04    IM7      7.526      274.00      202.34
195.0    195.0    1.7369e+02    1.072e+00     0.05    IM7      8.793      274.00      162.52
195.0    196.0    1.7190e+02    9.817e-01     0.05    IM7      8.377      274.00      174.95
195.0    197.0    1.6980e+02    9.959e-01     0.05    IM7      8.383      274.00      170.46
195.0    198.0    1.6825e+02    9.617e-01     0.05    IM7      8.203      274.00      174.62
195.0    199.0    1.6653e+02    9.031e-01     0.04    IM7      7.913      274.00      183.51
195.0    200.0    1.6475e+02    8.833e-01     0.04    IM7      7.786      274.00      185.43
196.0    196.0    1.7018e+02    1.043e+00     0.05    IM7      8.583      274.00      163.52
196.0    197.0    1.6798e+02    1.075e+00     0.05    IM7      8.655      274.00      156.78
196.0    198.0    1.6637e+02    9.950e-01     0.01    EM10      3.926      58.00      167.13
196.0    199.0    1.6474e+02    9.416e-01     0.05    IM7      8.032      274.00      174.45
196.0    200.0    1.6304e+02    8.481e-01     0.04    IM7      7.592      274.00      190.74
197.0    197.0    1.6647e+02    1.236e+00     0.01    EM10      4.353      58.00      137.53
