 Mv1   Mvp      cs_(pb)   
 14.4    85.2    2.8194E+00 
 28.3    93.8    1.0549E-01 
 14.2    86.9    2.0582E+00 
 83.9    89.7    1.0411E+00 
 22.6    87.4    1.8551E+00 
 48.1    91.2    6.1765E-01 
 82.4    94.3    4.6666E-02 
 69.8    90.8    7.2207E-01 
 63.8    94.1    6.8225E-02 
 61.2    85.6    2.6303E+00 
 9.4    94.5    2.8092E-02 
 42.4    87.4    1.8551E+00 
 27.3    90.5    8.0450E-01 
 26.0    90.4    8.3274E-01 
 43.4    86.3    2.3143E+00 
 58.0    90.6    7.7663E-01 
 32.1    89.1    1.2345E+00 
