 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     ctau_v2     Br(H->AA)      Width_H   
22.93   25.69    100.00   3.204E-01   8.179E-01   -8.179E-01     7.007E-02     1.588E-06      6.305E-01       3.695E-01       1.678E-03      7.234E-08      1.372E+02 
10.90   14.98    100.00   -7.370E-01   2.097E-01   -2.097E-01     1.367E+01     3.415E-05      7.862E-01       2.138E-01       2.818E-04      1.604E-08      1.331E+04 
23.42   25.07    100.00   7.322E-01   -9.888E-01   9.888E-01     2.690E-02     7.966E-06      5.771E-01       4.229E-01       2.264E-02      2.243E-09      7.131E+02 
51.56   57.70    100.00   2.984E-01   -3.340E-01   3.340E-01     1.188E-02     2.848E-07      7.211E-01       2.767E-01       2.792E-05      3.625E-06      1.875E+00 
44.78   47.23    100.00   7.503E-01   3.202E-01   -3.202E-01     1.211E-04     2.374E-06      5.775E-01       4.223E-01       2.819E-03      1.201E-07      3.296E+01 
49.64   52.43    100.00   -3.206E-01   -1.695E-01   1.695E-01     1.631E-03     3.541E-07      5.662E-01       4.326E-01       1.444E-03      2.505E-05      3.454E+00 
38.13   40.33    100.00   -2.021E-01   3.345E-01   -3.345E-01     8.767E-04     2.359E-07      5.565E-01       4.428E-01       4.979E-03      1.231E-05      5.735E+00 
46.38   47.46    100.00   -9.285E-01   1.181E-01   -1.181E-01     1.187E-04     3.395E-06      5.301E-01       4.698E-01       1.815E-01      5.580E-06      4.543E+01 
12.80   20.27    100.00   1.215E-01   4.052E-01   -4.052E-01     6.535E+00     6.888E-07      8.884E-01       1.115E-01       1.422E-05      1.771E-07      1.653E+02 
24.71   32.13    100.00   -9.358E-01   -6.895E-01   6.895E-01     7.021E-01     1.174E-05      7.648E-01       2.352E-01       1.260E-05      3.956E-07      6.932E+02 
17.88   20.62    100.00   -3.217E-02   -2.056E-02   2.056E-02     2.578E-01     2.578E-08      5.979E-01       4.008E-01       1.786E-03      1.146E-05      4.273E+00 
29.88   32.24    100.00   -9.660E-01   5.554E-01   -5.554E-01     1.192E-02     8.659E-06      5.861E-01       4.139E-01       3.605E-03      6.954E-07      4.049E+02 
41.85   47.09    100.00   -9.348E-01   2.849E-01   -2.849E-01     2.903E-04     4.207E-06      6.458E-01       3.541E-01       6.312E-05      3.973E-06      6.552E+01 
32.86   35.00    100.00   -7.865E-01   9.923E-01   -9.923E-01     5.175E-03     4.774E-06      5.726E-01       4.273E-01       5.877E-03      1.248E-06      1.753E+02 
47.89   49.89    100.00   -3.980E-01   5.076E-01   -5.076E-01     5.654E-04     5.858E-07      5.497E-01       4.496E-01       8.013E-03      1.543E-05      6.734E+00 
56.65   61.10    100.00   -5.340E-01   -2.548E-01   2.548E-01     2.627E-03     7.579E-07      7.034E-01       2.953E-01       1.384E-04      3.949E-05      3.241E+00 
