 Mv1       Mv2        Mvp         lamL       alpha2      alpha3        Omega        protonSI      Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)     Br(H->AA)      Width_H   
1972.26   1980.91    1989.85   2.126E+00   -9.563E-01   9.563E-01     1.182E-01     1.023E-08      0.000E+00       0.000E+00       0.000E+00      2.292E-03      4.267E-03 
1378.28   1395.25    1379.04   2.189E-01   9.776E-03   -9.776E-03     1.176E-01     2.220E-10      0.000E+00       0.000E+00       0.000E+00      2.272E-03      4.267E-03 
1845.22   1859.03    1863.30   1.100E+00   1.025E-01   -1.025E-01     1.181E-01     3.131E-09      0.000E+00       0.000E+00       0.000E+00      2.332E-03      4.268E-03 
1912.48   1915.22    1927.88   2.106E-01   -3.459E-01   3.459E-01     1.191E-01     1.068E-10      0.000E+00       0.000E+00       0.000E+00      2.353E-03      4.268E-03 
1026.51   1032.99    1035.88   6.336E-01   6.933E-01   -6.933E-01     1.180E-01     3.352E-09      0.000E+00       0.000E+00       0.000E+00      2.287E-03      4.267E-03 
1567.02   1580.41    1583.64   1.519E+00   -4.093E-02   4.093E-02     1.177E-01     8.272E-09      0.000E+00       0.000E+00       0.000E+00      2.298E-03      4.268E-03 
1644.41   1649.40    1660.05   1.586E+00   -6.868E-01   6.868E-01     1.186E-01     8.192E-09      0.000E+00       0.000E+00       0.000E+00      2.292E-03      4.267E-03 
1409.33   1416.35    1425.62   1.005E+00   -9.274E-02   9.274E-02     1.193E-01     4.478E-09      0.000E+00       0.000E+00       0.000E+00      2.323E-03      4.268E-03 
1825.82   1828.53    1826.47   -1.601E+00   3.923E-01   -3.923E-01     1.182E-01     6.771E-09      0.000E+00       0.000E+00       0.000E+00      2.355E-03      4.268E-03 
1775.91   1794.92    1778.27   1.952E-01   -9.359E-01   9.359E-01     1.183E-01     1.063E-10      0.000E+00       0.000E+00       0.000E+00      2.287E-03      4.267E-03 
1420.65   1427.63    1435.12   1.326E+00   9.206E-01   -9.206E-01     1.194E-01     7.676E-09      0.000E+00       0.000E+00       0.000E+00      2.289E-03      4.267E-03 
1775.94   1777.17    1783.22   1.889E+00   9.319E-01   -9.319E-01     1.194E-01     9.962E-09      0.000E+00       0.000E+00       0.000E+00      2.239E-03      4.267E-03 
1169.37   1184.97    1177.37   7.588E-01   -4.858E-01   4.858E-01     1.180E-01     3.706E-09      0.000E+00       0.000E+00       0.000E+00      2.271E-03      4.267E-03 
1707.88   1726.45    1719.92   1.818E+00   -2.803E-01   2.803E-01     1.178E-01     9.976E-09      0.000E+00       0.000E+00       0.000E+00      2.264E-03      4.267E-03 
1999.51   2019.45    2002.82   1.500E+00   -3.597E-01   3.597E-01     1.173E-01     4.958E-09      0.000E+00       0.000E+00       0.000E+00      2.246E-03      4.267E-03 
1807.39   1818.27    1825.55   9.836E-01   -8.795E-01   8.795E-01     1.182E-01     2.608E-09      0.000E+00       0.000E+00       0.000E+00      2.337E-03      4.268E-03 
1817.49   1824.65    1826.98   2.131E+00   -8.610E-01   8.610E-01     1.195E-01     1.211E-08      0.000E+00       0.000E+00       0.000E+00      2.243E-03      4.267E-03 
1301.90   1308.83    1312.84   -2.300E-02   -4.718E-01   4.718E-01     1.195E-01     2.747E-12      0.000E+00       0.000E+00       0.000E+00      2.366E-03      4.268E-03 
1043.71   1055.65    1050.23   2.571E-01   -1.398E-01   1.398E-01     1.193E-01     5.341E-10      0.000E+00       0.000E+00       0.000E+00      2.310E-03      4.268E-03 
1791.88   1794.82    1798.93   1.981E+00   -3.404E-01   3.404E-01     1.179E-01     1.076E-08      0.000E+00       0.000E+00       0.000E+00      2.235E-03      4.267E-03 
1876.00   1878.75    1877.15   1.889E+00   -8.794E-01   8.794E-01     1.193E-01     8.929E-09      0.000E+00       0.000E+00       0.000E+00      2.214E-03      4.267E-03 
1271.33   1288.05    1278.58   9.277E-01   8.222E-01   -8.222E-01     1.194E-01     4.687E-09      0.000E+00       0.000E+00       0.000E+00      2.258E-03      4.267E-03 
876.19   880.79    876.64   2.365E-01   1.312E-02   -1.312E-02     1.193E-01     6.410E-10      0.000E+00       0.000E+00       0.000E+00      2.245E-03      4.267E-03 
880.55   882.04    885.07   2.335E-01   5.218E-01   -5.218E-01     1.187E-01     6.185E-10      0.000E+00       0.000E+00       0.000E+00      2.290E-03      4.267E-03 
1467.17   1470.36    1471.04   -9.231E-01   9.320E-01   -9.320E-01     1.192E-01     3.485E-09      0.000E+00       0.000E+00       0.000E+00      2.370E-03      4.268E-03 
1696.92   1703.01    1715.00   1.137E+00   -3.346E-01   3.346E-01     1.175E-01     3.953E-09      0.000E+00       0.000E+00       0.000E+00      2.330E-03      4.268E-03 
1564.46   1576.70    1566.66   -6.114E-01   8.217E-01   -8.217E-01     1.186E-01     1.345E-09      0.000E+00       0.000E+00       0.000E+00      2.332E-03      4.268E-03 
1294.30   1305.51    1306.55   2.834E-01   -2.632E-01   2.632E-01     1.183E-01     4.219E-10      0.000E+00       0.000E+00       0.000E+00      2.350E-03      4.268E-03 
1988.83   2008.11    2000.58   2.261E+00   -7.205E-01   7.205E-01     1.180E-01     1.138E-08      0.000E+00       0.000E+00       0.000E+00      2.260E-03      4.267E-03 
1879.62   1889.21    1895.61   4.193E-01   -6.182E-01   6.182E-01     1.188E-01     4.383E-10      0.000E+00       0.000E+00       0.000E+00      2.348E-03      4.268E-03 
1637.62   1641.06    1654.74   1.138E+00   -8.896E-01   8.896E-01     1.178E-01     4.254E-09      0.000E+00       0.000E+00       0.000E+00      2.324E-03      4.268E-03 
1478.16   1490.15    1491.34   1.560E+00   7.554E-01   -7.554E-01     1.187E-01     9.812E-09      0.000E+00       0.000E+00       0.000E+00      2.269E-03      4.267E-03 
1718.45   1737.84    1721.53   1.113E+00   7.263E-01   -7.263E-01     1.184E-01     3.695E-09      0.000E+00       0.000E+00       0.000E+00      2.248E-03      4.267E-03 
1431.65   1439.13    1444.38   6.090E-02   4.235E-01   -4.235E-01     1.172E-01     1.593E-11      0.000E+00       0.000E+00       0.000E+00      2.365E-03      4.268E-03 
1986.28   2003.82    1991.36   -1.776E-01   -3.987E-01   3.987E-01     1.192E-01     7.044E-11      0.000E+00       0.000E+00       0.000E+00      2.314E-03      4.268E-03 
1727.91   1728.65    1732.32   1.772E+00   9.113E-02   -9.113E-02     1.189E-01     9.260E-09      0.000E+00       0.000E+00       0.000E+00      2.225E-03      4.267E-03 
1600.70   1603.35    1615.81   2.968E-01   -7.643E-01   7.643E-01     1.191E-01     3.027E-10      0.000E+00       0.000E+00       0.000E+00      2.358E-03      4.268E-03 
1670.52   1679.91    1681.49   1.934E+00   7.184E-01   -7.184E-01     1.185E-01     1.180E-08      0.000E+00       0.000E+00       0.000E+00      2.249E-03      4.267E-03 
1914.30   1934.06    1915.89   9.326E-01   6.248E-01   -6.248E-01     1.189E-01     2.090E-09      0.000E+00       0.000E+00       0.000E+00      2.255E-03      4.267E-03 
1882.88   1892.41    1896.89   7.078E-02   -9.010E-01   9.010E-01     1.182E-01     1.245E-11      0.000E+00       0.000E+00       0.000E+00      2.352E-03      4.268E-03 
1962.39   1972.91    1973.51   -3.049E-01   -5.098E-01   5.098E-01     1.188E-01     2.126E-10      0.000E+00       0.000E+00       0.000E+00      2.349E-03      4.268E-03 
902.24   906.96    907.05   9.732E-02   -3.851E-01   3.851E-01     1.177E-01     1.024E-10      0.000E+00       0.000E+00       0.000E+00      2.318E-03      4.268E-03 
1791.54   1800.78    1808.83   7.106E-01   7.801E-01   -7.801E-01     1.186E-01     1.385E-09      0.000E+00       0.000E+00       0.000E+00      2.345E-03      4.268E-03 
1309.92   1321.18    1324.81   1.076E+00   -1.865E-01   1.865E-01     1.174E-01     5.942E-09      0.000E+00       0.000E+00       0.000E+00      2.304E-03      4.268E-03 
913.14   920.49    913.81   -1.093E-02   3.356E-01   -3.356E-01     1.194E-01     1.260E-12      0.000E+00       0.000E+00       0.000E+00      2.292E-03      4.267E-03 
1953.15   1967.38    1954.10   1.782E+00   -1.186E-01   1.186E-01     1.180E-01     7.333E-09      0.000E+00       0.000E+00       0.000E+00      2.222E-03      4.267E-03 
1580.54   1596.61    1590.71   1.989E-01   -5.223E-01   5.223E-01     1.190E-01     1.394E-10      0.000E+00       0.000E+00       0.000E+00      2.334E-03      4.268E-03 
1762.47   1775.39    1765.48   -6.722E-01   -8.843E-02   8.843E-02     1.195E-01     1.281E-09      0.000E+00       0.000E+00       0.000E+00      2.330E-03      4.268E-03 
1390.02   1408.97    1399.91   6.945E-01   -4.782E-01   4.782E-01     1.173E-01     2.197E-09      0.000E+00       0.000E+00       0.000E+00      2.301E-03      4.268E-03 
1379.16   1398.11    1387.56   7.039E-01   8.426E-01   -8.426E-01     1.195E-01     2.293E-09      0.000E+00       0.000E+00       0.000E+00      2.290E-03      4.267E-03 
1511.12   1521.57    1528.27   1.210E+00   9.734E-01   -9.734E-01     1.190E-01     5.646E-09      0.000E+00       0.000E+00       0.000E+00      2.318E-03      4.268E-03 
1523.16   1533.31    1530.79   -4.016E-01   -3.318E-01   3.318E-01     1.174E-01     6.121E-10      0.000E+00       0.000E+00       0.000E+00      2.356E-03      4.268E-03 
1643.29   1659.79    1657.78   1.753E+00   1.309E-01   -1.309E-01     1.182E-01     1.002E-08      0.000E+00       0.000E+00       0.000E+00      2.277E-03      4.267E-03 
1174.35   1185.41    1175.21   -3.272E-01   9.700E-01   -9.700E-01     1.180E-01     6.831E-10      0.000E+00       0.000E+00       0.000E+00      2.324E-03      4.268E-03 
1392.17   1399.31    1393.89   -8.165E-01   2.657E-01   -2.657E-01     1.175E-01     3.028E-09      0.000E+00       0.000E+00       0.000E+00      2.355E-03      4.268E-03 
1394.11   1413.07    1402.54   9.675E-01   9.047E-01   -9.047E-01     1.195E-01     4.240E-09      0.000E+00       0.000E+00       0.000E+00      2.272E-03      4.267E-03 
1607.72   1609.01    1621.94   1.255E-01   6.857E-03   -6.857E-03     1.189E-01     5.364E-11      0.000E+00       0.000E+00       0.000E+00      2.361E-03      4.268E-03 
1631.79   1640.29    1649.56   1.429E+00   -9.912E-01   9.912E-01     1.173E-01     6.753E-09      0.000E+00       0.000E+00       0.000E+00      2.312E-03      4.268E-03 
1814.24   1815.39    1814.93   1.775E+00   2.440E-01   -2.440E-01     1.180E-01     8.431E-09      0.000E+00       0.000E+00       0.000E+00      2.211E-03      4.267E-03 
1924.50   1942.95    1940.93   1.188E+00   7.917E-01   -7.917E-01     1.191E-01     3.357E-09      0.000E+00       0.000E+00       0.000E+00      2.320E-03      4.268E-03 
1670.92   1681.99    1678.91   -4.197E-01   3.242E-01   -3.242E-01     1.185E-01     5.556E-10      0.000E+00       0.000E+00       0.000E+00      2.351E-03      4.268E-03 
1209.62   1217.13    1217.44   -2.040E-01   -9.319E-01   9.319E-01     1.174E-01     2.504E-10      0.000E+00       0.000E+00       0.000E+00      2.365E-03      4.268E-03 
1501.65   1507.90    1515.78   1.926E-01   4.527E-01   -4.527E-01     1.188E-01     1.448E-10      0.000E+00       0.000E+00       0.000E+00      2.362E-03      4.268E-03 
