 Mv1   Mv2      cs_(pb)   
 81.0    116.0    3.6953E-01 
 81.0    121.0    1.0655E-01 
 86.0    1.0    4.5483E+04 
 86.0    6.0    1.2624E+03 
 86.0    11.0    3.7485E+02 
 86.0    16.0    1.7658E+02 
 86.0    21.0    1.0198E+02 
 86.0    26.0    6.6037E+01 
 86.0    31.0    4.5983E+01 
 86.0    36.0    3.3634E+01 
 86.0    41.0    2.5469E+01 
 86.0    46.0    1.9767E+01 
 86.0    51.0    1.5611E+01 
 86.0    56.0    1.2472E+01 
 86.0    61.0    1.0032E+01 
 86.0    66.0    8.0876E+00 
 86.0    71.0    6.5068E+00 
 86.0    76.0    5.2004E+00 
 86.0    81.0    4.1071E+00 
 86.0    86.0    3.1842E+00 
 86.0    91.0    2.4017E+00 
 86.0    96.0    1.7390E+00 
 86.0    101.0    1.1823E+00 
 86.0    106.0    7.2396E-01 
 86.0    111.0    3.6212E-01 
 86.0    116.0    1.0431E-01 
 91.0    1.0    4.0554E+04 
 91.0    6.0    1.1251E+03 
 91.0    11.0    3.3366E+02 
 91.0    16.0    1.5687E+02 
 91.0    21.0    9.0354E+01 
 91.0    26.0    5.8312E+01 
 91.0    31.0    4.0435E+01 
 91.0    36.0    2.9428E+01 
 91.0    41.0    2.2153E+01 
 91.0    46.0    1.7076E+01 
 91.0    51.0    1.3377E+01 
 91.0    56.0    1.0588E+01 
 91.0    61.0    8.4220E+00 
 91.0    66.0    6.7005E+00 
 91.0    71.0    5.3052E+00 
 91.0    76.0    4.1571E+00 
 91.0    81.0    3.2017E+00 
 91.0    86.0    2.4017E+00 
 91.0    91.0    1.7311E+00 
 91.0    96.0    1.1726E+00 
 91.0    101.0    7.1592E-01 
 91.0    106.0    3.5728E-01 
 91.0    111.0    1.0275E-01 
 96.0    1.0    3.6101E+04 
 96.0    6.0    1.0010E+03 
 96.0    11.0    2.9648E+02 
 96.0    16.0    1.3910E+02 
 96.0    21.0    7.9893E+01 
 96.0    26.0    5.1372E+01 
 96.0    31.0    3.5461E+01 
 96.0    36.0    2.5668E+01 
 96.0    41.0    1.9196E+01 
 96.0    46.0    1.4683E+01 
 96.0    51.0    1.1398E+01 
 96.0    56.0    8.9236E+00 
 96.0    61.0    7.0064E+00 
 96.0    66.0    5.4865E+00 
 96.0    71.0    4.2595E+00 
 96.0    76.0    3.2551E+00 
 96.0    81.0    2.4258E+00 
 96.0    86.0    1.7390E+00 
 96.0    91.0    1.1726E+00 
 96.0    96.0    7.1327E-01 
 96.0    101.0    3.5490E-01 
 96.0    106.0    1.0183E-01 
 101.0    1.0    3.2045E+04 
 101.0    6.0    8.8804E+02 
 101.0    11.0    2.6266E+02 
 101.0    16.0    1.2296E+02 
 101.0    21.0    7.0404E+01 
 101.0    26.0    4.5090E+01 
 101.0    31.0    3.0969E+01 
 101.0    36.0    2.2280E+01 
 101.0    41.0    1.6541E+01 
 101.0    46.0    1.2541E+01 
 101.0    51.0    9.6327E+00 
 101.0    56.0    7.4457E+00 
 101.0    61.0    5.7552E+00 
 101.0    66.0    4.4197E+00 
 101.0    71.0    3.3469E+00 
 101.0    76.0    2.4751E+00 
 101.0    81.0    1.7629E+00 
 101.0    86.0    1.1823E+00 
 101.0    91.0    7.1592E-01 
 101.0    96.0    3.5490E-01 
 101.0    101.0    1.0152E-01 
 50.8    145.2    5.7800E-01 
 95.0    108.8    4.1144E-02 
 73.8    127.2    1.5608E-01 
 94.1    106.3    1.7079E-01 
 25.4    176.5    2.4082E-01 
 63.1    136.7    2.3699E-01 
 29.8    175.4    1.7411E-02 
 81.3    116.9    2.9575E-01 
 36.3    167.4    7.5819E-02 
 77.3    127.0    2.9747E-02 
 73.7    132.0    2.2382E-03 
 37.3    165.3    1.3554E-01 
 29.4    170.9    3.6341E-01 
 56.0    144.9    1.8970E-01 
 73.3    126.0    2.4518E-01 
 22.7    177.0    5.2435E-01 
 10.4    193.0    2.2330E-01 
 97.4    102.9    1.7485E-01 
 25.1    178.8    8.5399E-02 
 56.9    146.9    5.2133E-02 
 72.3    131.5    4.5337E-02 
 58.5    144.9    6.5988E-02 
 62.1    139.2    1.5656E-01 
 61.3    139.4    1.8970E-01 
 57.8    139.3    4.3892E-01 
 60.3    143.4    5.3766E-02 
 79.3    120.8    1.9450E-01 
 60.3    139.0    2.7486E-01 
 28.4    169.8    6.1880E-01 
 46.0    152.0    4.3878E-01 
 85.5    113.1    2.6798E-01
