 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
115.00    116.00    116.00     -1.000E+00     8.381E-04     6.558E-07     3.898E-24      0.000E+00      0.000E+00        0.000E+00       2.719E-02      4.377E-03
116.00    117.00    117.00     -1.000E+00     8.406E-04     6.446E-07     3.826E-24      0.000E+00      0.000E+00        0.000E+00       2.650E-02      4.374E-03
117.00    118.00    118.00     -1.000E+00     8.428E-04     6.338E-07     3.754E-24      0.000E+00      0.000E+00        0.000E+00       2.584E-02      4.371E-03
118.00    119.00    119.00     -1.000E+00     8.443E-04     6.232E-07     3.679E-24      0.000E+00      0.000E+00        0.000E+00       2.521E-02      4.368E-03
119.00    120.00    120.00     -1.000E+00     8.439E-04     6.128E-07     3.597E-24      0.000E+00      0.000E+00        0.000E+00       2.460E-02      4.365E-03
120.00    121.00    121.00     -1.000E+00     8.401E-04     6.027E-07     3.504E-24      0.000E+00      0.000E+00        0.000E+00       2.401E-02      4.362E-03
121.00    122.00    122.00     -1.000E+00     8.301E-04     5.929E-07     3.388E-24      0.000E+00      0.000E+00        0.000E+00       2.345E-02      4.360E-03
122.00    123.00    123.00     -1.000E+00     8.099E-04     5.833E-07     3.234E-24      0.000E+00      0.000E+00        0.000E+00       2.291E-02      4.358E-03
123.00    124.00    124.00     -1.000E+00     7.735E-04     5.739E-07     3.013E-24      0.000E+00      0.000E+00        0.000E+00       2.238E-02      4.355E-03
124.00    125.00    125.00     -1.000E+00     7.153E-04     5.647E-07     2.668E-24      0.000E+00      0.000E+00        0.000E+00       2.188E-02      4.353E-03
125.00    126.00    126.00     -1.000E+00     6.385E-04     5.558E-07     1.949E-24      0.000E+00      0.000E+00        0.000E+00       2.140E-02      4.351E-03
126.00    127.00    127.00     -1.000E+00     5.878E-04     5.471E-07     2.868E-24      0.000E+00      0.000E+00        0.000E+00       2.093E-02      4.349E-03
127.00    128.00    128.00     -1.000E+00     5.695E-04     5.386E-07     2.962E-24      0.000E+00      0.000E+00        0.000E+00       2.048E-02      4.347E-03
128.00    129.00    129.00     -1.000E+00     5.621E-04     5.302E-07     2.982E-24      0.000E+00      0.000E+00        0.000E+00       2.004E-02      4.345E-03
129.00    130.00    130.00     -1.000E+00     5.607E-04     5.221E-07     2.974E-24      0.000E+00      0.000E+00        0.000E+00       1.962E-02      4.343E-03
130.00    131.00    131.00     -1.000E+00     5.634E-04     5.142E-07     2.957E-24      0.000E+00      0.000E+00        0.000E+00       1.921E-02      4.341E-03
131.00    132.00    132.00     -1.000E+00     5.689E-04     5.064E-07     2.934E-24      0.000E+00      0.000E+00        0.000E+00       1.882E-02      4.339E-03
132.00    133.00    133.00     -1.000E+00     5.765E-04     4.988E-07     2.907E-24      0.000E+00      0.000E+00        0.000E+00       1.844E-02      4.338E-03
133.00    134.00    134.00     -1.000E+00     5.858E-04     4.914E-07     2.878E-24      0.000E+00      0.000E+00        0.000E+00       1.808E-02      4.336E-03
134.00    135.00    135.00     -1.000E+00     5.965E-04     4.841E-07     2.847E-24      0.000E+00      0.000E+00        0.000E+00       1.772E-02      4.335E-03
135.00    136.00    136.00     -1.000E+00     6.083E-04     4.770E-07     2.815E-24      0.000E+00      0.000E+00        0.000E+00       1.738E-02      4.333E-03
136.00    137.00    137.00     -1.000E+00     6.211E-04     4.701E-07     2.783E-24      0.000E+00      0.000E+00        0.000E+00       1.705E-02      4.332E-03
137.00    138.00    138.00     -1.000E+00     6.347E-04     4.633E-07     2.751E-24      0.000E+00      0.000E+00        0.000E+00       1.673E-02      4.330E-03
138.00    139.00    139.00     -1.000E+00     6.491E-04     4.567E-07     2.719E-24      0.000E+00      0.000E+00        0.000E+00       1.642E-02      4.329E-03
139.00    140.00    140.00     -1.000E+00     6.642E-04     4.502E-07     2.688E-24      0.000E+00      0.000E+00        0.000E+00       1.611E-02      4.327E-03
140.00    141.00    141.00     -1.000E+00     6.800E-04     4.438E-07     2.656E-24      0.000E+00      0.000E+00        0.000E+00       1.582E-02      4.326E-03
141.00    142.00    142.00     -1.000E+00     6.963E-04     4.376E-07     2.625E-24      0.000E+00      0.000E+00        0.000E+00       1.554E-02      4.325E-03
142.00    143.00    143.00     -1.000E+00     7.132E-04     4.315E-07     2.594E-24      0.000E+00      0.000E+00        0.000E+00       1.527E-02      4.324E-03
143.00    144.00    144.00     -1.000E+00     7.306E-04     4.255E-07     2.564E-24      0.000E+00      0.000E+00        0.000E+00       1.500E-02      4.323E-03
144.00    145.00    145.00     -1.000E+00     7.485E-04     4.196E-07     2.534E-24      0.000E+00      0.000E+00        0.000E+00       1.474E-02      4.321E-03
145.00    146.00    146.00     -1.000E+00     7.669E-04     4.139E-07     2.505E-24      0.000E+00      0.000E+00        0.000E+00       1.449E-02      4.320E-03
146.00    147.00    147.00     -1.000E+00     7.857E-04     4.083E-07     2.476E-24      0.000E+00      0.000E+00        0.000E+00       1.425E-02      4.319E-03
147.00    148.00    148.00     -1.000E+00     8.049E-04     4.028E-07     2.447E-24      0.000E+00      0.000E+00        0.000E+00       1.401E-02      4.318E-03
148.00    149.00    149.00     -1.000E+00     8.246E-04     3.974E-07     2.419E-24      0.000E+00      0.000E+00        0.000E+00       1.379E-02      4.317E-03
149.00    150.00    150.00     -1.000E+00     8.446E-04     3.921E-07     2.391E-24      0.000E+00      0.000E+00        0.000E+00       1.356E-02      4.316E-03
150.00    151.00    151.00     -1.000E+00     8.650E-04     3.869E-07     2.364E-24      0.000E+00      0.000E+00        0.000E+00       1.335E-02      4.315E-03
