 Mv1      Mv2        Mvp         lamL         Omega        protonSI      sv-WW          Br(H->v1v1)     Br(H->v2v2)     Br(H->v-v+)      Br(H->AA)      Width_H   
110.00    111.00    111.00     1.000E-02     2.147E-03     7.163E-11     1.850E-24      0.000E+00      0.000E+00        0.000E+00       2.253E-03      4.267E-03
111.00    112.00    112.00     1.000E-02     2.187E-03     7.035E-11     1.816E-24      0.000E+00      0.000E+00        0.000E+00       2.254E-03      4.267E-03
112.00    113.00    113.00     1.000E-02     2.225E-03     6.911E-11     1.787E-24      0.000E+00      0.000E+00        0.000E+00       2.256E-03      4.267E-03
113.00    114.00    114.00     1.000E-02     2.268E-03     6.790E-11     1.754E-24      0.000E+00      0.000E+00        0.000E+00       2.257E-03      4.267E-03
114.00    115.00    115.00     1.000E-02     2.311E-03     6.673E-11     1.720E-24      0.000E+00      0.000E+00        0.000E+00       2.258E-03      4.267E-03
115.00    116.00    116.00     1.000E-02     2.356E-03     6.558E-11     1.688E-24      0.000E+00      0.000E+00        0.000E+00       2.259E-03      4.267E-03
116.00    117.00    117.00     1.000E-02     2.401E-03     6.446E-11     1.656E-24      0.000E+00      0.000E+00        0.000E+00       2.261E-03      4.267E-03
117.00    118.00    118.00     1.000E-02     2.446E-03     6.338E-11     1.626E-24      0.000E+00      0.000E+00        0.000E+00       2.262E-03      4.267E-03
118.00    119.00    119.00     1.000E-02     2.492E-03     6.232E-11     1.596E-24      0.000E+00      0.000E+00        0.000E+00       2.263E-03      4.267E-03
119.00    120.00    120.00     1.000E-02     2.538E-03     6.128E-11     1.568E-24      0.000E+00      0.000E+00        0.000E+00       2.264E-03      4.267E-03
120.00    121.00    121.00     1.000E-02     2.584E-03     6.027E-11     1.540E-24      0.000E+00      0.000E+00        0.000E+00       2.265E-03      4.267E-03
121.00    122.00    122.00     1.000E-02     2.631E-03     5.929E-11     1.513E-24      0.000E+00      0.000E+00        0.000E+00       2.266E-03      4.267E-03
122.00    123.00    123.00     1.000E-02     2.678E-03     5.833E-11     1.487E-24      0.000E+00      0.000E+00        0.000E+00       2.267E-03      4.267E-03
123.00    124.00    124.00     1.000E-02     2.725E-03     5.739E-11     1.462E-24      0.000E+00      0.000E+00        0.000E+00       2.268E-03      4.267E-03
124.00    125.00    125.00     1.000E-02     2.772E-03     5.647E-11     1.437E-24      0.000E+00      0.000E+00        0.000E+00       2.269E-03      4.267E-03
125.00    126.00    126.00     1.000E-02     2.821E-03     5.558E-11     1.413E-24      0.000E+00      0.000E+00        0.000E+00       2.270E-03      4.267E-03
126.00    127.00    127.00     1.000E-02     2.869E-03     5.471E-11     1.390E-24      0.000E+00      0.000E+00        0.000E+00       2.271E-03      4.267E-03
127.00    128.00    128.00     1.000E-02     2.918E-03     5.386E-11     1.368E-24      0.000E+00      0.000E+00        0.000E+00       2.271E-03      4.267E-03
128.00    129.00    129.00     1.000E-02     2.964E-03     5.302E-11     1.344E-24      0.000E+00      0.000E+00        0.000E+00       2.272E-03      4.267E-03
129.00    130.00    130.00     1.000E-02     3.009E-03     5.221E-11     1.317E-24      0.000E+00      0.000E+00        0.000E+00       2.273E-03      4.267E-03
130.00    131.00    131.00     1.000E-02     3.058E-03     5.142E-11     1.296E-24      0.000E+00      0.000E+00        0.000E+00       2.274E-03      4.267E-03
131.00    132.00    132.00     1.000E-02     3.108E-03     5.064E-11     1.276E-24      0.000E+00      0.000E+00        0.000E+00       2.274E-03      4.267E-03
132.00    133.00    133.00     1.000E-02     3.158E-03     4.988E-11     1.256E-24      0.000E+00      0.000E+00        0.000E+00       2.275E-03      4.267E-03
133.00    134.00    134.00     1.000E-02     3.209E-03     4.914E-11     1.237E-24      0.000E+00      0.000E+00        0.000E+00       2.276E-03      4.267E-03
134.00    135.00    135.00     1.000E-02     3.260E-03     4.841E-11     1.219E-24      0.000E+00      0.000E+00        0.000E+00       2.277E-03      4.267E-03
135.00    136.00    136.00     1.000E-02     3.311E-03     4.770E-11     1.201E-24      0.000E+00      0.000E+00        0.000E+00       2.277E-03      4.267E-03
136.00    137.00    137.00     1.000E-02     3.363E-03     4.701E-11     1.183E-24      0.000E+00      0.000E+00        0.000E+00       2.278E-03      4.267E-03
137.00    138.00    138.00     1.000E-02     3.415E-03     4.633E-11     1.166E-24      0.000E+00      0.000E+00        0.000E+00       2.278E-03      4.267E-03
138.00    139.00    139.00     1.000E-02     3.467E-03     4.567E-11     1.149E-24      0.000E+00      0.000E+00        0.000E+00       2.279E-03      4.267E-03
139.00    140.00    140.00     1.000E-02     3.520E-03     4.502E-11     1.133E-24      0.000E+00      0.000E+00        0.000E+00       2.280E-03      4.267E-03
140.00    141.00    141.00     1.000E-02     3.573E-03     4.438E-11     1.117E-24      0.000E+00      0.000E+00        0.000E+00       2.280E-03      4.267E-03
141.00    142.00    142.00     1.000E-02     3.626E-03     4.376E-11     1.101E-24      0.000E+00      0.000E+00        0.000E+00       2.281E-03      4.267E-03
142.00    143.00    143.00     1.000E-02     3.679E-03     4.315E-11     1.086E-24      0.000E+00      0.000E+00        0.000E+00       2.281E-03      4.267E-03
143.00    144.00    144.00     1.000E-02     3.733E-03     4.255E-11     1.071E-24      0.000E+00      0.000E+00        0.000E+00       2.282E-03      4.267E-03
144.00    145.00    145.00     1.000E-02     3.787E-03     4.196E-11     1.057E-24      0.000E+00      0.000E+00        0.000E+00       2.282E-03      4.267E-03
145.00    146.00    146.00     1.000E-02     3.842E-03     4.139E-11     1.042E-24      0.000E+00      0.000E+00        0.000E+00       2.283E-03      4.267E-03
146.00    147.00    147.00     1.000E-02     3.897E-03     4.083E-11     1.028E-24      0.000E+00      0.000E+00        0.000E+00       2.283E-03      4.267E-03
147.00    148.00    148.00     1.000E-02     3.952E-03     4.028E-11     1.015E-24      0.000E+00      0.000E+00        0.000E+00       2.284E-03      4.267E-03
148.00    149.00    149.00     1.000E-02     4.007E-03     3.974E-11     1.001E-24      0.000E+00      0.000E+00        0.000E+00       2.284E-03      4.267E-03
149.00    150.00    150.00     1.000E-02     4.063E-03     3.921E-11     9.883E-25      0.000E+00      0.000E+00        0.000E+00       2.285E-03      4.267E-03
150.00    151.00    151.00     1.000E-02     4.119E-03     3.869E-11     9.755E-25      0.000E+00      0.000E+00        0.000E+00       2.285E-03      4.267E-03
151.00    152.00    152.00     1.000E-02     4.176E-03     3.819E-11     9.629E-25      0.000E+00      0.000E+00        0.000E+00       2.285E-03      4.267E-03
152.00    153.00    153.00     1.000E-02     4.232E-03     3.769E-11     9.506E-25      0.000E+00      0.000E+00        0.000E+00       2.286E-03      4.267E-03
153.00    154.00    154.00     1.000E-02     4.289E-03     3.720E-11     9.385E-25      0.000E+00      0.000E+00        0.000E+00       2.286E-03      4.267E-03
154.00    155.00    155.00     1.000E-02     4.347E-03     3.672E-11     9.267E-25      0.000E+00      0.000E+00        0.000E+00       2.287E-03      4.267E-03
155.00    156.00    156.00     1.000E-02     4.404E-03     3.625E-11     9.152E-25      0.000E+00      0.000E+00        0.000E+00       2.287E-03      4.267E-03
156.00    157.00    157.00     1.000E-02     4.462E-03     3.579E-11     9.038E-25      0.000E+00      0.000E+00        0.000E+00       2.287E-03      4.267E-03
157.00    158.00    158.00     1.000E-02     4.521E-03     3.534E-11     8.927E-25      0.000E+00      0.000E+00        0.000E+00       2.288E-03      4.267E-03
158.00    159.00    159.00     1.000E-02     4.579E-03     3.490E-11     8.818E-25      0.000E+00      0.000E+00        0.000E+00       2.288E-03      4.267E-03
159.00    160.00    160.00     1.000E-02     4.638E-03     3.446E-11     8.711E-25      0.000E+00      0.000E+00        0.000E+00       2.288E-03      4.267E-03
160.00    161.00    161.00     1.000E-02     4.698E-03     3.403E-11     8.606E-25      0.000E+00      0.000E+00        0.000E+00       2.289E-03      4.267E-03
161.00    162.00    162.00     1.000E-02     4.757E-03     3.362E-11     8.503E-25      0.000E+00      0.000E+00        0.000E+00       2.289E-03      4.267E-03
162.00    163.00    163.00     1.000E-02     4.817E-03     3.320E-11     8.401E-25      0.000E+00      0.000E+00        0.000E+00       2.289E-03      4.267E-03
163.00    164.00    164.00     1.000E-02     4.877E-03     3.280E-11     8.302E-25      0.000E+00      0.000E+00        0.000E+00       2.290E-03      4.267E-03
164.00    165.00    165.00     1.000E-02     4.938E-03     3.240E-11     8.205E-25      0.000E+00      0.000E+00        0.000E+00       2.290E-03      4.267E-03
165.00    166.00    166.00     1.000E-02     4.999E-03     3.201E-11     8.109E-25      0.000E+00      0.000E+00        0.000E+00       2.290E-03      4.267E-03
166.00    167.00    167.00     1.000E-02     5.060E-03     3.163E-11     8.015E-25      0.000E+00      0.000E+00        0.000E+00       2.290E-03      4.267E-03
167.00    168.00    168.00     1.000E-02     5.121E-03     3.126E-11     7.923E-25      0.000E+00      0.000E+00        0.000E+00       2.291E-03      4.267E-03
168.00    169.00    169.00     1.000E-02     5.183E-03     3.089E-11     7.832E-25      0.000E+00      0.000E+00        0.000E+00       2.291E-03      4.267E-03
169.00    170.00    170.00     1.000E-02     5.245E-03     3.052E-11     7.743E-25      0.000E+00      0.000E+00        0.000E+00       2.291E-03      4.267E-03
170.00    171.00    171.00     1.000E-02     5.307E-03     3.017E-11     7.656E-25      0.000E+00      0.000E+00        0.000E+00       2.291E-03      4.267E-03
171.00    172.00    172.00     1.000E-02     5.369E-03     2.982E-11     7.570E-25      0.000E+00      0.000E+00        0.000E+00       2.292E-03      4.267E-03
172.00    173.00    173.00     1.000E-02     5.432E-03     2.948E-11     7.486E-25      0.000E+00      0.000E+00        0.000E+00       2.292E-03      4.267E-03
173.00    174.00    174.00     1.000E-02     5.496E-03     2.914E-11     7.403E-25      0.000E+00      0.000E+00        0.000E+00       2.292E-03      4.267E-03
174.00    175.00    175.00     1.000E-02     5.559E-03     2.881E-11     7.321E-25      0.000E+00      0.000E+00        0.000E+00       2.292E-03      4.267E-03
175.00    176.00    176.00     1.000E-02     5.623E-03     2.848E-11     7.241E-25      0.000E+00      0.000E+00        0.000E+00       2.293E-03      4.267E-03
176.00    177.00    177.00     1.000E-02     5.687E-03     2.816E-11     7.162E-25      0.000E+00      0.000E+00        0.000E+00       2.293E-03      4.268E-03
177.00    178.00    178.00     1.000E-02     5.752E-03     2.784E-11     7.084E-25      0.000E+00      0.000E+00        0.000E+00       2.293E-03      4.268E-03
178.00    179.00    179.00     1.000E-02     5.817E-03     2.753E-11     7.008E-25      0.000E+00      0.000E+00        0.000E+00       2.293E-03      4.268E-03
179.00    180.00    180.00     1.000E-02     5.882E-03     2.723E-11     6.933E-25      0.000E+00      0.000E+00        0.000E+00       2.293E-03      4.268E-03
180.00    181.00    181.00     1.000E-02     5.948E-03     2.693E-11     6.985E-25      0.000E+00      0.000E+00        0.000E+00       2.294E-03      4.268E-03
181.00    182.00    182.00     1.000E-02     6.014E-03     2.663E-11     6.912E-25      0.000E+00      0.000E+00        0.000E+00       2.294E-03      4.268E-03
182.00    183.00    183.00     1.000E-02     6.081E-03     2.634E-11     6.840E-25      0.000E+00      0.000E+00        0.000E+00       2.294E-03      4.268E-03
183.00    184.00    184.00     1.000E-02     6.147E-03     2.606E-11     6.770E-25      0.000E+00      0.000E+00        0.000E+00       2.294E-03      4.268E-03
184.00    185.00    185.00     1.000E-02     6.215E-03     2.577E-11     6.700E-25      0.000E+00      0.000E+00        0.000E+00       2.294E-03      4.268E-03
185.00    186.00    186.00     1.000E-02     6.282E-03     2.550E-11     6.632E-25      0.000E+00      0.000E+00        0.000E+00       2.294E-03      4.268E-03
186.00    187.00    187.00     1.000E-02     6.350E-03     2.523E-11     6.564E-25      0.000E+00      0.000E+00        0.000E+00       2.295E-03      4.268E-03
187.00    188.00    188.00     1.000E-02     6.418E-03     2.496E-11     6.498E-25      0.000E+00      0.000E+00        0.000E+00       2.295E-03      4.268E-03
188.00    189.00    189.00     1.000E-02     6.486E-03     2.469E-11     6.433E-25      0.000E+00      0.000E+00        0.000E+00       2.295E-03      4.268E-03
189.00    190.00    190.00     1.000E-02     6.555E-03     2.444E-11     6.369E-25      0.000E+00      0.000E+00        0.000E+00       2.295E-03      4.268E-03
190.00    191.00    191.00     1.000E-02     6.624E-03     2.418E-11     6.305E-25      0.000E+00      0.000E+00        0.000E+00       2.295E-03      4.268E-03
191.00    192.00    192.00     1.000E-02     6.694E-03     2.393E-11     6.243E-25      0.000E+00      0.000E+00        0.000E+00       2.295E-03      4.268E-03
