Mv1      lamL   xs_14TeV    xs_lim_36.1(fb)    xs_lim_100(fb)    xs_lim_3000(fb)
320.0    2.00       1.22          62.35             37.46             6.84
320.0    3.00       2.75          58.68             35.25             6.44
320.0    4.00       4.89          65.20             39.18             7.15
320.0    5.00       7.64          65.67             39.45             7.20
320.0    6.00       10.97          61.56             36.99             6.75
320.0    7.00       14.97          60.81             36.54             6.67
320.0    8.00       19.55          60.95             36.62             6.69
320.0    9.00       24.77          63.71             38.28             6.99
320.0    10.00       30.59          65.54             39.38             7.19
320.0    11.00       37.00          64.42             38.70             7.07
320.0    12.00       43.95          71.13             42.74             7.80
330.0    1.00       0.26          59.08             35.50             6.48
330.0    2.00       1.04          54.50             32.74             5.98
330.0    3.00       2.33          62.89             37.78             6.90
330.0    4.00       4.14          68.20             40.98             7.48
330.0    5.00       6.48          56.84             34.15             6.24
330.0    6.00       9.31          61.43             36.91             6.74
330.0    7.00       12.68          61.06             36.68             6.70
330.0    8.00       16.59          57.96             34.83             6.36
330.0    9.00       21.01          61.90             37.19             6.79
330.0    10.00       25.89          63.79             38.33             7.00
330.0    11.00       31.32          56.50             33.95             6.20
330.0    12.00       37.28          71.42             42.91             7.83
340.0    1.00       0.22          54.79             32.92             6.01
340.0    2.00       0.88          59.14             35.53             6.49
340.0    3.00       1.99          66.22             39.78             7.26
340.0    4.00       3.53          61.64             37.03             6.76
340.0    5.00       5.52          60.51             36.35             6.64
340.0    6.00       7.95          56.23             33.79             6.17
340.0    7.00       10.81          65.91             39.60             7.23
340.0    8.00       14.13          60.54             36.37             6.64
340.0    9.00       17.87          61.86             37.17             6.79
340.0    10.00       22.09          64.63             38.83             7.09
340.0    11.00       26.71          61.07             36.69             6.70
340.0    12.00       31.75          66.57             40.00             7.30
350.0    1.00       0.19          65.07             39.10             7.14
350.0    2.00       0.75          59.13             35.53             6.49
350.0    3.00       1.70          62.38             37.48             6.84
350.0    4.00       3.02          55.86             33.56             6.13
350.0    5.00       4.71          60.66             36.45             6.65
350.0    6.00       6.79          62.11             37.32             6.81
350.0    7.00       9.24          59.35             35.66             6.51
350.0    8.00       12.07          71.05             42.69             7.79
